Symbol,industry
BTML.NS,
TIRUMALCHM.NS,Specialty Chemicals
ANUP.NS,Specialty Industrial Machinery
SBC.NS,Conglomerates
RCF.NS,Agricultural Inputs
LT.NS,Engineering & Construction
KILITCH.NS,Drug Manufacturers—Specialty & Generic
DMCC.NS,Chemicals
BCG.NS,Advertising Agencies
EQUITASBNK.NS,Banks—Regional
SHREECEM.NS,Building Materials
DHAMPURSUG.NS,Confectioners
SRF.NS,Specialty Chemicals
RVNL.NS,Engineering & Construction
ESCORTS.NS,Farm & Heavy Construction Machinery
DALBHARAT.NS,Building Materials
DCMSHRIRAM.NS,Specialty Chemicals
LTTS.NS,Information Technology Services
